,Time,X,Y,Z,A,B,C,LineNumber,ProgTime,X_Norm,Y_Norm,Distance,X_Trans,Y_Trans
6287,25.148,718.8522391940858,-376.0095784690668,8.927026353745907,-0.001790896664105,-0.002071628440216,0.000678731895783,3,18.392,0.15952921825294825,0.9995702524930795,1.842,0.5973151633716728,0.8912665056013895
6288,25.152,718.8181670251009,-376.0088221295893,8.926136874387637,-0.001734307429046,-0.00200606549693,0.000856545509489,3,18.396,0.15867904777581782,0.9995772480246401,1.775,0.5970623658883942,0.8912631396854805
6289,25.156,718.7837918385611,-376.0091253177935,8.92510081169784,-0.001673773800319,-0.001917397638403,0.000875471938838,3,18.4,0.15782131638938882,0.9995744437777186,1.774,0.5968075235766752,0.8912526213885997
6290,25.16,718.75043661392,-376.00906186077464,8.924278979002162,-0.001673227675966,-0.001916666700985,0.000872306597263,3,18.404,0.15698903514364362,0.9995750307040812,1.773,0.5965601823247865,0.8912448044737515
6291,25.164,718.7173348973988,-376.0089463667816,8.923279708976597,-0.001625970236632,-0.001889727040099,0.000910203400314,3,18.408,0.15616307944527974,0.9995760989305821,1.773,0.5963147167919451,0.8912373979641669
6292,25.168,718.6832753471114,-376.0087837017703,8.922213510573581,-0.001562037484287,-0.001806421598702,0.000894664810379,3,18.412,0.15531322383052215,0.999577603451044,1.773,0.5960621461445461,0.8912300700805863
6293,25.172,718.6491589616061,-376.0089412714094,8.921273916873485,-0.001506634430479,-0.001742257127539,0.000842954105628,3,18.416,0.15446195006054575,0.9995761460586744,1.772,0.5958092192835607,0.8912205892739427
6294,25.176,718.615083879041,-376.0086359375644,8.91996355087772,-0.001413065477487,-0.001633968637347,0.000774319123259,3,18.42,0.15361170688361386,0.9995789701510467,1.772,0.5955565188546141,0.8912142108863235
6295,25.18,718.5810700841049,-376.0083453927244,8.91875889551334,-0.001316095325851,-0.001521758881351,0.000678218234024,3,18.424,0.15276299295868917,0.9995816574570232,1.772,0.5953042814522659,0.8912077490045976
6296,25.184,718.5468673357758,-376.0084099449024,8.918187859723568,-0.001215997423684,-0.0014244789479,0.000580886523459,3,18.428,0.15190956425918162,0.9995810604013201,1.771,0.5950507147938561,0.8911988687585183
6297,25.188,718.5128254693904,-376.0079258837271,8.91691885052085,-0.001112505951045,-0.001304752780271,0.000479143408364,3,18.432,0.15106014989403774,0.9995855375776801,1.771,0.5947982452312353,0.8911936928319518
6298,25.192,718.4780627110025,-376.0071623362558,8.915789881937505,-0.000974965674834,-0.001136408842557,0.00047733911241,3,18.436,0.15019274779533026,0.9995925997773832,1.77,0.5945403854369105,0.8911902057130036
